slug,category,status,size,error
admapix,Agents,success,9285 bytes,OK (9285 bytes)
ai-agent-helper,Agents,success,1539 bytes,OK (1539 bytes)
aws-agentcore-langgraph,Agents,success,6627 bytes,OK (6627 bytes)
aws-infra,Agents,success,2721 bytes,OK (2721 bytes)
azure-infra,Agents,success,2783 bytes,OK (2783 bytes)
baidu-netdisk-skills,Agents,success,8826 bytes,OK (8826 bytes)
claude,Agents,success,5873 bytes,OK (5873 bytes)
elite-longterm-memory,Agents,success,11658 bytes,OK (11658 bytes)
elite-longterm-memory-local,Agents,success,5842 bytes,OK (5842 bytes)
memory,Agents,success,8194 bytes,OK (8194 bytes)
memory-compress,Agents,success,5691 bytes,OK (5691 bytes)
memory-scan,Agents,success,6081 bytes,OK (6081 bytes)
neosoul-decision-agent,Agents,success,11330 bytes,OK (11330 bytes)
neural-memory-enhanced,Agents,success,7055 bytes,OK (7055 bytes)
ontology,Agents,success,6965 bytes,OK (6965 bytes)
productivity,Agents,success,11938 bytes,OK (11938 bytes)
redis-store,Agents,success,4568 bytes,OK (4568 bytes)
self-improving,Agents,success,8659 bytes,OK (8659 bytes)
self-improving-agent,Agents,success,19064 bytes,OK (19064 bytes)
simple-memory-skill,Agents,success,10052 bytes,OK (10052 bytes)
smart-memory-manager,Agents,success,2802 bytes,OK (2802 bytes)
subagent-driven-development,Agents,success,10948 bytes,OK (10948 bytes)
token-saver-skill,Agents,success,9311 bytes,OK (9311 bytes)
totalreclaw,Agents,success,8669 bytes,OK (8669 bytes)
afrexai-business-automation,Automation,success,17595 bytes,OK (17595 bytes)
auto-updater,Automation,success,3966 bytes,OK (3966 bytes)
auto-workflow,Automation,success,1456 bytes,OK (1456 bytes)
automate-excel,Automation,success,6995 bytes,OK (6995 bytes)
automation-workflow-builder,Automation,success,3743 bytes,OK (3743 bytes)
automation-workflows,Automation,success,10837 bytes,OK (10837 bytes)
automation-workflows-0-1-0,Automation,success,10934 bytes,OK (10934 bytes)
batch,Automation,success,1939 bytes,OK (1939 bytes)
browser-automation-cdp,Automation,success,7429 bytes,OK (7429 bytes)
clawsec-feed,Automation,success,27403 bytes,OK (27403 bytes)
cloud-infra-automation,Automation,success,1742 bytes,OK (1742 bytes)
control,Automation,success,13151 bytes,OK (13151 bytes)
cron,Automation,success,2185 bytes,OK (2185 bytes)
cron-helper,Automation,success,2771 bytes,OK (2771 bytes)
cron-mastery,Automation,success,6897 bytes,OK (6897 bytes)
cron-worker-guardrails,Automation,success,4388 bytes,OK (4388 bytes)
desktop-control,Automation,success,13183 bytes,OK (13183 bytes)
drawing-analyzer,Automation,success,16542 bytes,OK (16542 bytes)
jlc-eda-drawing,Automation,success,5545 bytes,OK (5545 bytes)
kyaukyuai-linear-cli,Automation,success,10971 bytes,OK (10971 bytes)
linear-autopilot,Automation,success,7077 bytes,OK (7077 bytes)
macro-monitor,Automation,success,3885 bytes,OK (3885 bytes)
node-red-manager,Automation,success,3183 bytes,OK (3183 bytes)
obsidian,Automation,success,2946 bytes,OK (2946 bytes)
obsidian-1-0-0,Automation,success,2979 bytes,OK (2979 bytes)
obsidian-notesmd-cli,Automation,success,3625 bytes,OK (3625 bytes)
office-automation-pro,Automation,success,3427 bytes,OK (3427 bytes)
openclaw-automation-recipes,Automation,success,3429 bytes,OK (3429 bytes)
openclaw-cron-setup,Automation,success,4713 bytes,OK (4713 bytes)
openclaw-reminder,Automation,success,3878 bytes,OK (3878 bytes)
productivity-bot,Automation,success,1743 bytes,OK (1743 bytes)
queue-task,Automation,success,2555 bytes,OK (2555 bytes)
reminder,Automation,success,3157 bytes,OK (3157 bytes)
schedule,Automation,success,3372 bytes,OK (3372 bytes)
solo-build,Automation,success,18568 bytes,OK (18568 bytes)
translate-en-zh,Automation,success,2090 bytes,OK (2090 bytes)
workflow,Automation,success,3487 bytes,OK (3487 bytes)
workflow-decomposer,Automation,success,3267 bytes,OK (3267 bytes)
ws-agent-browser,Automation,success,1844 bytes,OK (1844 bytes)
x-news-daily,Automation,success,5498 bytes,OK (5498 bytes)
agent-telegram,Communication,success,2846 bytes,OK (2846 bytes)
alephnet-node,Communication,success,27909 bytes,OK (27909 bytes)
anthrovision-telegram-body-scan,Communication,success,2687 bytes,OK (2687 bytes)
beware-piper-tts,Communication,success,2939 bytes,OK (2939 bytes)
bookmark-intelligence,Communication,success,18533 bytes,OK (18533 bytes)
calendar-reminder,Communication,success,1993 bytes,OK (1993 bytes)
creator-alpha-feed,Communication,success,2657 bytes,OK (2657 bytes)
discord,Communication,success,7846 bytes,OK (7846 bytes)
discord-chat,Communication,success,4186 bytes,OK (4186 bytes)
discord-communities,Communication,success,10094 bytes,OK (10094 bytes)
discord-voice,Communication,success,8404 bytes,OK (8404 bytes)
dns,Communication,success,3525 bytes,OK (3525 bytes)
email-163-com,Communication,success,5866 bytes,OK (5866 bytes)
email-daily-summary,Communication,success,7107 bytes,OK (7107 bytes)
email-gmail-outlook,Communication,success,4937 bytes,OK (4937 bytes)
email-skill,Communication,success,4674 bytes,OK (4674 bytes)
feishu-card,Communication,success,3571 bytes,OK (3571 bytes)
feishu-send-file,Communication,success,4578 bytes,OK (4578 bytes)
gog,Communication,success,2429 bytes,OK (2429 bytes)
google-workspace-mcp,Communication,success,5241 bytes,OK (5241 bytes)
news-sentiment-scan,Communication,success,3524 bytes,OK (3524 bytes)
openclaw-telegram-chat,Communication,success,3469 bytes,OK (3469 bytes)
photo-captions,Communication,success,9125 bytes,OK (9125 bytes)
professional-communication,Communication,success,3823 bytes,OK (3823 bytes)
rss-ai-reader,Communication,success,2783 bytes,OK (2783 bytes)
slack,Communication,success,3139 bytes,OK (3139 bytes)
slack-hub-skill,Communication,success,1856 bytes,OK (1856 bytes)
slack-workspace,Communication,success,17459 bytes,OK (17459 bytes)
social,Communication,success,17527 bytes,OK (17527 bytes)
social-media-scheduler,Communication,success,2726 bytes,OK (2726 bytes)
telegram-messaging,Communication,success,13699 bytes,OK (13699 bytes)
test-wa,Communication,success,2652 bytes,OK (2652 bytes)
timer,Communication,success,3828 bytes,OK (3828 bytes)
whatsapp-messaging,Communication,success,13902 bytes,OK (13902 bytes)
whatsapp-styler,Communication,success,2094 bytes,OK (2094 bytes)
whatsapp-styling-guide,Communication,success,2124 bytes,OK (2124 bytes)
x-timeline-digest,Communication,success,4469 bytes,OK (4469 bytes)
z-card-image,Communication,success,3795 bytes,OK (3795 bytes)
ace-music,Creative,success,3831 bytes,OK (3831 bytes)
agentvibes-openclaw-skill,Creative,success,7125 bytes,OK (7125 bytes)
ai-image-gen,Creative,success,3734 bytes,OK (3734 bytes)
ai-image-generation-prompts-9142af54,Creative,success,1708 bytes,OK (1708 bytes)
ai-kujiale-design,Creative,success,5749 bytes,OK (5749 bytes)
ai-podcast,Creative,success,4775 bytes,OK (4775 bytes)
alibaba-quark-scan,Creative,success,6732 bytes,OK (6732 bytes)
analyze-video-by-qwen,Creative,success,2234 bytes,OK (2234 bytes)
anthropics-frontend-design,Creative,success,5105 bytes,OK (5105 bytes)
anygen-diagram-generator,Creative,success,1758 bytes,OK (1758 bytes)
audio-upload-aioz-stream,Creative,success,7891 bytes,OK (7891 bytes)
aws-wechat-article-writing,Creative,success,14566 bytes,OK (14566 bytes)
azure-ai-transcription-py,Creative,success,2576 bytes,OK (2576 bytes)
